Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Unit_Price,Brand,Order_Month,Order_Day,Order_Day_Name,Total_Sales
O0016,2026-02-25,C011,P008,3,UPI,Delivered,Vivaan Kapoor,Jaipur,North,New,Sneakers,Clothing,2999,StepUp,2,25,Wednesday,8997
O0017,2026-02-27,C023,P011,4,Net Banking,Delivered,Nikhil Sood,Chandigarh,North,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,2,27,Friday,19996
O0018,2026-01-05,C003,P011,4,Net Banking,Cancelled,Rohan Mehta,Mumbai,West,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,1,5,Monday,19996
O0019,2026-03-05,C019,P017,4,Net Banking,Delivered,Yusuf Dar,Srinagar,North,New,Yoga Mat,Sports,899,FitLife,3,5,Thursday,3596
O0020,2026-02-06,C010,P012,3,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Water Bottle,Home & Kitchen,699,HydroLife,2,6,Friday,2097
O0021,2026-01-09,C026,P019,1,Debit Card,Cancelled,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,2499,BatPro,1,9,Friday,2499
O0022,2026-01-02,C023,P014,4,Net Banking,Delivered,Nikhil Sood,Chandigarh,North,Premium,Data Science Handbook,Books,899,DataPress,1,2,Friday,3596
O0023,2026-02-04,C015,P013,3,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Python Programming,Books,749,TechBooks,2,4,Wednesday,2247
O0024,2026-02-20,C030,P001,4,Net Banking,Delivered,Riya Kapoor,Bengaluru,South,Premium,Wireless Headphones,Electronics,1499,SoundMax,2,20,Friday,5996
O0025,2026-01-22,C026,P008,2,Cash on Delivery,Cancelled,Fatima Noor,Srinagar,North,Regular,Sneakers,Clothing,2999,StepUp,1,22,Thursday,5998
O0026,2026-01-28,C015,P005,2,UPI,Delivered,Karan Joshi,Chandigarh,North,Regular,Power Bank,Electronics,1199,VoltPlus,1,28,Wednesday,2398
O0027,2026-01-11,C002,P008,1,Cash on Delivery,Shipped,Zoya Khan,Delhi,North,Regular,Sneakers,Clothing,2999,StepUp,1,11,Sunday,2999
O0028,2026-01-07,C006,P011,3,UPI,Delivered,Ishita Gupta,Bengaluru,South,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,1,7,Wednesday,14997
O0029,2026-01-15,C005,P017,1,Cash on Delivery,Cancelled,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,899,FitLife,1,15,Thursday,899
O0030,2026-03-05,C017,P010,3,Net Banking,Shipped,Dev Patel,Ahmedabad,West,Premium,Electric Kettle,Home & Kitchen,1499,KitchenPro,3,5,Thursday,4497
O0031,2026-03-24,C013,P014,2,Debit Card,Delivered,Rahul Das,Kolkata,East,Regular,Data Science Handbook,Books,899,DataPress,3,24,Tuesday,1798
O0032,2026-01-25,C017,P005,2,Credit Card,Shipped,Dev Patel,Ahmedabad,West,Premium,Power Bank,Electronics,1199,VoltPlus,1,25,Sunday,2398
O0033,2026-02-13,C010,P008,5,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Sneakers,Clothing,2999,StepUp,2,13,Friday,14995
O0034,2026-01-13,C010,P020,5,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Dumbbell Set,Sports,1999,StrongFit,1,13,Tuesday,9995
O0035,2026-03-01,C003,P007,2,Net Banking,Cancelled,Rohan Mehta,Mumbai,West,Premium,Jacket,Clothing,2499,NorthStyle,3,1,Sunday,4998
O0036,2026-03-14,C026,P016,5,Debit Card,Shipped,Fatima Noor,Srinagar,North,Regular,Atomic Habits,Books,599,MindReads,3,14,Saturday,2995
O0037,2026-03-30,C028,P005,1,Credit Card,Delivered,Inaya Khan,Mumbai,West,Regular,Power Bank,Electronics,1199,VoltPlus,3,30,Monday,1199
O0038,2026-01-25,C024,P008,1,Credit Card,Delivered,Maryam Khan,Hyderabad,South,Regular,Sneakers,Clothing,2999,StepUp,1,25,Sunday,2999
O0039,2026-02-09,C016,P020,5,Credit Card,Delivered,Hiba Sheikh,Srinagar,North,Premium,Dumbbell Set,Sports,1999,StrongFit,2,9,Monday,9995
O0040,2026-02-03,C008,P010,4,Cash on Delivery,Delivered,Sara Ahmed,Hyderabad,South,Premium,Electric Kettle,Home & Kitchen,1499,KitchenPro,2,3,Tuesday,5996
O0041,2026-01-04,C008,P012,5,Cash on Delivery,Delivered,Sara Ahmed,Hyderabad,South,Premium,Water Bottle,Home & Kitchen,699,HydroLife,1,4,Sunday,3495
O0042,2026-01-29,C012,P008,5,Net Banking,Delivered,Aisha Mir,Delhi,North,Premium,Sneakers,Clothing,2999,StepUp,1,29,Thursday,14995
O0043,2026-01-10,C003,P012,4,Net Banking,Delivered,Rohan Mehta,Mumbai,West,Premium,Water Bottle,Home & Kitchen,699,HydroLife,1,10,Saturday,2796
O0044,2026-02-27,C016,P019,4,Credit Card,Delivered,Hiba Sheikh,Srinagar,North,Premium,Cricket Bat,Sports,2499,BatPro,2,27,Friday,9996
O0045,2026-01-14,C006,P017,1,Debit Card,Cancelled,Ishita Gupta,Bengaluru,South,Premium,Yoga Mat,Sports,899,FitLife,1,14,Wednesday,899
O0046,2026-01-09,C019,P012,2,Cash on Delivery,Delivered,Yusuf Dar,Srinagar,North,New,Water Bottle,Home & Kitchen,699,HydroLife,1,9,Friday,1398
O0047,2026-02-15,C005,P004,5,Credit Card,Cancelled,Kabir Ali,Lucknow,North,New,Smart Watch,Electronics,3299,FitTech,2,15,Sunday,16495
O0048,2026-02-02,C020,P012,2,Debit Card,Cancelled,Priya Menon,Chennai,South,Premium,Water Bottle,Home & Kitchen,699,HydroLife,2,2,Monday,1398
O0049,2026-02-27,C010,P006,3,Cash on Delivery,Delivered,Mehak Bhat,Srinagar,North,Premium,Hoodie,Clothing,1599,UrbanWear,2,27,Friday,4797
O0050,2026-02-18,C020,P001,1,Credit Card,Shipped,Priya Menon,Chennai,South,Premium,Wireless Headphones,Electronics,1499,SoundMax,2,18,Wednesday,1499
O0051,2026-01-01,C008,P017,4,Net Banking,Delivered,Sara Ahmed,Hyderabad,South,Premium,Yoga Mat,Sports,899,FitLife,1,1,Thursday,3596
O0052,2026-03-10,C024,P008,5,Debit Card,Delivered,Maryam Khan,Hyderabad,South,Regular,Sneakers,Clothing,2999,StepUp,3,10,Tuesday,14995
O0053,2026-03-19,C021,P004,3,Credit Card,Cancelled,Aman Kumar,Delhi,North,Regular,Smart Watch,Electronics,3299,FitTech,3,19,Thursday,9897
O0054,2026-01-30,C019,P007,3,Credit Card,Cancelled,Yusuf Dar,Srinagar,North,New,Jacket,Clothing,2499,NorthStyle,1,30,Friday,7497
O0055,2026-02-23,C008,P009,4,Net Banking,Cancelled,Sara Ahmed,Hyderabad,South,Premium,Coffee Maker,Home & Kitchen,3499,HomeBrew,2,23,Monday,13996
O0056,2026-01-08,C015,P018,3,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Football,Sports,799,SportZone,1,8,Thursday,2397
O0057,2026-03-02,C027,P008,2,Cash on Delivery,Delivered,Harsh Vardhan,Noida,North,Premium,Sneakers,Clothing,2999,StepUp,3,2,Monday,5998
O0058,2026-02-05,C029,P005,5,UPI,Cancelled,Sameer Qureshi,Jammu,North,New,Power Bank,Electronics,1199,VoltPlus,2,5,Thursday,5995
O0059,2026-03-09,C017,P020,2,Net Banking,Delivered,Dev Patel,Ahmedabad,West,Premium,Dumbbell Set,Sports,1999,StrongFit,3,9,Monday,3998
O0060,2026-03-15,C007,P006,1,Debit Card,Cancelled,Aditya Verma,Pune,West,Regular,Hoodie,Clothing,1599,UrbanWear,3,15,Sunday,1599
O0061,2026-03-02,C020,P002,2,Credit Card,Delivered,Priya Menon,Chennai,South,Premium,Mechanical Keyboard,Electronics,2499,KeyPro,3,2,Monday,4998
O0062,2026-03-25,C009,P014,2,UPI,Delivered,Arjun Nair,Kochi,South,Regular,Data Science Handbook,Books,899,DataPress,3,25,Wednesday,1798
O0063,2026-02-25,C030,P020,3,Credit Card,Shipped,Riya Kapoor,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,2,25,Wednesday,5997
O0064,2026-01-30,C007,P009,4,Credit Card,Cancelled,Aditya Verma,Pune,West,Regular,Coffee Maker,Home & Kitchen,3499,HomeBrew,1,30,Friday,13996
O0065,2026-03-14,C024,P020,2,Cash on Delivery,Delivered,Maryam Khan,Hyderabad,South,Regular,Dumbbell Set,Sports,1999,StrongFit,3,14,Saturday,3998
O0066,2026-02-05,C004,P001,2,Debit Card,Cancelled,Ananya Singh,Jammu,North,Regular,Wireless Headphones,Electronics,1499,SoundMax,2,5,Thursday,2998
O0067,2026-02-22,C005,P017,1,Debit Card,Delivered,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,899,FitLife,2,22,Sunday,899
O0068,2026-02-22,C018,P010,2,Debit Card,Delivered,Manya Rao,Bengaluru,South,Regular,Electric Kettle,Home & Kitchen,1499,KitchenPro,2,22,Sunday,2998
O0069,2026-01-27,C028,P004,4,Debit Card,Delivered,Inaya Khan,Mumbai,West,Regular,Smart Watch,Electronics,3299,FitTech,1,27,Tuesday,13196
O0070,2026-03-18,C011,P004,2,Net Banking,Delivered,Vivaan Kapoor,Jaipur,North,New,Smart Watch,Electronics,3299,FitTech,3,18,Wednesday,6598
O0071,2026-01-21,C020,P016,1,UPI,Delivered,Priya Menon,Chennai,South,Premium,Atomic Habits,Books,599,MindReads,1,21,Wednesday,599
O0072,2026-03-21,C029,P009,4,Net Banking,Cancelled,Sameer Qureshi,Jammu,North,New,Coffee Maker,Home & Kitchen,3499,HomeBrew,3,21,Saturday,13996
O0073,2026-03-02,C029,P004,3,Debit Card,Cancelled,Sameer Qureshi,Jammu,North,New,Smart Watch,Electronics,3299,FitTech,3,2,Monday,9897
O0074,2026-03-19,C014,P013,4,Credit Card,Delivered,Sana Malik,Mumbai,West,New,Python Programming,Books,749,TechBooks,3,19,Thursday,2996
O0075,2026-02-08,C027,P004,4,UPI,Delivered,Harsh Vardhan,Noida,North,Premium,Smart Watch,Electronics,3299,FitTech,2,8,Sunday,13196
O0076,2026-01-03,C019,P015,1,Debit Card,Delivered,Yusuf Dar,Srinagar,North,New,Machine Learning Basics,Books,999,AIPress,1,3,Saturday,999
O0077,2026-03-27,C006,P020,3,Net Banking,Delivered,Ishita Gupta,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,3,27,Friday,5997
O0078,2026-02-17,C029,P004,5,Cash on Delivery,Delivered,Sameer Qureshi,Jammu,North,New,Smart Watch,Electronics,3299,FitTech,2,17,Tuesday,16495
O0079,2026-01-16,C021,P012,5,Debit Card,Delivered,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,1,16,Friday,3495
O0080,2026-03-29,C026,P019,5,Debit Card,Delivered,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,2499,BatPro,3,29,Sunday,12495
O0081,2026-01-19,C022,P018,2,Credit Card,Delivered,Alina Shah,Pune,West,New,Football,Sports,799,SportZone,1,19,Monday,1598
O0082,2026-01-30,C014,P013,4,Cash on Delivery,Delivered,Sana Malik,Mumbai,West,New,Python Programming,Books,749,TechBooks,1,30,Friday,2996
O0083,2026-02-24,C009,P013,1,Debit Card,Shipped,Arjun Nair,Kochi,South,Regular,Python Programming,Books,749,TechBooks,2,24,Tuesday,749
O0084,2026-01-27,C013,P004,3,Credit Card,Delivered,Rahul Das,Kolkata,East,Regular,Smart Watch,Electronics,3299,FitTech,1,27,Tuesday,9897
O0085,2026-03-01,C028,P011,2,Cash on Delivery,Delivered,Inaya Khan,Mumbai,West,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,3,1,Sunday,9998
O0086,2026-01-28,C024,P006,5,Debit Card,Delivered,Maryam Khan,Hyderabad,South,Regular,Hoodie,Clothing,1599,UrbanWear,1,28,Wednesday,7995
O0087,2026-03-28,C006,P004,5,Cash on Delivery,Cancelled,Ishita Gupta,Bengaluru,South,Premium,Smart Watch,Electronics,3299,FitTech,3,28,Saturday,16495
O0088,2026-01-30,C022,P008,2,Debit Card,Cancelled,Alina Shah,Pune,West,New,Sneakers,Clothing,2999,StepUp,1,30,Friday,5998
O0089,2026-03-14,C015,P008,4,Credit Card,Shipped,Karan Joshi,Chandigarh,North,Regular,Sneakers,Clothing,2999,StepUp,3,14,Saturday,11996
O0090,2026-02-07,C022,P019,2,Cash on Delivery,Shipped,Alina Shah,Pune,West,New,Cricket Bat,Sports,2499,BatPro,2,7,Saturday,4998
O0091,2026-01-01,C002,P011,2,Credit Card,Delivered,Zoya Khan,Delhi,North,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,1,1,Thursday,9998
O0092,2026-02-21,C027,P006,2,Debit Card,Delivered,Harsh Vardhan,Noida,North,Premium,Hoodie,Clothing,1599,UrbanWear,2,21,Saturday,3198
O0093,2026-02-08,C012,P016,3,Debit Card,Delivered,Aisha Mir,Delhi,North,Premium,Atomic Habits,Books,599,MindReads,2,8,Sunday,1797
O0094,2026-01-17,C011,P002,4,Net Banking,Cancelled,Vivaan Kapoor,Jaipur,North,New,Mechanical Keyboard,Electronics,2499,KeyPro,1,17,Saturday,9996
O0095,2026-02-25,C015,P011,2,Cash on Delivery,Delivered,Karan Joshi,Chandigarh,North,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,2,25,Wednesday,9998
O0096,2026-02-07,C002,P013,1,Net Banking,Shipped,Zoya Khan,Delhi,North,Regular,Python Programming,Books,749,TechBooks,2,7,Saturday,749
O0097,2026-02-24,C004,P006,2,Cash on Delivery,Delivered,Ananya Singh,Jammu,North,Regular,Hoodie,Clothing,1599,UrbanWear,2,24,Tuesday,3198
O0098,2026-02-03,C009,P006,1,Credit Card,Delivered,Arjun Nair,Kochi,South,Regular,Hoodie,Clothing,1599,UrbanWear,2,3,Tuesday,1599
O0099,2026-01-17,C010,P001,2,UPI,Shipped,Mehak Bhat,Srinagar,North,Premium,Wireless Headphones,Electronics,1499,SoundMax,1,17,Saturday,2998
O0100,2026-03-19,C003,P008,4,Credit Card,Delivered,Rohan Mehta,Mumbai,West,Premium,Sneakers,Clothing,2999,StepUp,3,19,Thursday,11996
O0101,2026-02-24,C009,P012,1,UPI,Delivered,Arjun Nair,Kochi,South,Regular,Water Bottle,Home & Kitchen,699,HydroLife,2,24,Tuesday,699
O0102,2026-01-20,C021,P012,3,Credit Card,Shipped,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,1,20,Tuesday,2097
O0103,2026-03-03,C022,P005,1,Debit Card,Delivered,Alina Shah,Pune,West,New,Power Bank,Electronics,1199,VoltPlus,3,3,Tuesday,1199
O0104,2026-01-05,C011,P006,3,Debit Card,Shipped,Vivaan Kapoor,Jaipur,North,New,Hoodie,Clothing,1599,UrbanWear,1,5,Monday,4797
O0105,2026-01-22,C020,P016,4,UPI,Delivered,Priya Menon,Chennai,South,Premium,Atomic Habits,Books,599,MindReads,1,22,Thursday,2396
O0106,2026-01-02,C001,P009,1,Net Banking,Delivered,Aarav Sharma,Srinagar,North,Premium,Coffee Maker,Home & Kitchen,3499,HomeBrew,1,2,Friday,3499
O0107,2026-01-26,C021,P003,2,Cash on Delivery,Delivered,Aman Kumar,Delhi,North,Regular,Wireless Mouse,Electronics,899,TechGear,1,26,Monday,1798
O0108,2026-01-04,C006,P020,1,Net Banking,Delivered,Ishita Gupta,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,1,4,Sunday,1999
O0109,2026-03-17,C023,P019,5,Debit Card,Cancelled,Nikhil Sood,Chandigarh,North,Premium,Cricket Bat,Sports,2499,BatPro,3,17,Tuesday,12495
O0110,2026-01-05,C007,P005,1,UPI,Delivered,Aditya Verma,Pune,West,Regular,Power Bank,Electronics,1199,VoltPlus,1,5,Monday,1199
O0111,2026-03-14,C001,P001,4,Debit Card,Delivered,Aarav Sharma,Srinagar,North,Premium,Wireless Headphones,Electronics,1499,SoundMax,3,14,Saturday,5996
O0112,2026-01-15,C012,P006,4,UPI,Delivered,Aisha Mir,Delhi,North,Premium,Hoodie,Clothing,1599,UrbanWear,1,15,Thursday,6396
O0113,2026-03-22,C008,P014,1,UPI,Delivered,Sara Ahmed,Hyderabad,South,Premium,Data Science Handbook,Books,899,DataPress,3,22,Sunday,899
O0114,2026-02-12,C019,P011,5,Credit Card,Delivered,Yusuf Dar,Srinagar,North,New,Air Fryer,Home & Kitchen,4999,CookSmart,2,12,Thursday,24995
O0115,2026-01-23,C014,P007,2,Credit Card,Delivered,Sana Malik,Mumbai,West,New,Jacket,Clothing,2499,NorthStyle,1,23,Friday,4998
O0116,2026-02-19,C025,P010,1,Net Banking,Delivered,Reyansh Jain,Kolkata,East,New,Electric Kettle,Home & Kitchen,1499,KitchenPro,2,19,Thursday,1499
O0117,2026-02-21,C019,P015,3,Cash on Delivery,Shipped,Yusuf Dar,Srinagar,North,New,Machine Learning Basics,Books,999,AIPress,2,21,Saturday,2997
O0118,2026-03-09,C025,P016,4,Credit Card,Delivered,Reyansh Jain,Kolkata,East,New,Atomic Habits,Books,599,MindReads,3,9,Monday,2396
O0119,2026-02-03,C015,P019,2,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Cricket Bat,Sports,2499,BatPro,2,3,Tuesday,4998
O0120,2026-01-21,C013,P020,1,Cash on Delivery,Cancelled,Rahul Das,Kolkata,East,Regular,Dumbbell Set,Sports,1999,StrongFit,1,21,Wednesday,1999
